Deutsch,Englisch,Kartenart,Kartentyp,Eigenschaft,Typ,Stufe_Rang_Link,ATK,DEF,Anzahl
Sternenstaubdrache ,Stardust Dragon,Monster,Synchro,Wind,Drache,8,2500,2000,3
Metaphysischer Horus ,Metaphys Horus,Monster,Synchro,Licht,Wyrm,6,2300,1600,1
Superstarker Samurai-Oger Shutendoji ,Superheavy Samurai Ogre Shutendoji,Monster,Synchro,Erde,Maschine,6,500,2500,1
Verwalter der Dämmerung ,Night's End Administrator,Monster,Synchro,Licht,Hexer,6,2300,1400,1
Glasflügel-Schnelldrache ,Clear Wing Fast Dragon,Monster,Pendel,Wind,Drache,7,2500,2000,1
Geschwindigkeitsroid Hexa-Auge ,Speedroid Hexasaucer,Monster,Pendel,Wasser,Maschine,4,100,1600,1
Buntäugiger Pendeldrache ,Odd-Eyes Pendulum Dragon,Monster,Pendel,Finsternis,Drache,7,2500,2000,2
"Dunkler Magier, der Ritter der Drachenmagie ",Dark Magician the Knight of Dragon Magic,Monster,Fusion,Finsternis,Drache,8,2900,2400,1
Tränenklage Kitkallos ,Tearlaments Kitkallos,Monster,Fusion,Finsternis,Aqua,5,2300,1200,1
D/D/D-Drachenbann-König Beowulf ,D/D/D Dragonbane King Beowulf,Monster,Fusion,Finsternis,Unterweltler,8,3000,2500,1
Timaeus der Schicksalsritter ,Timaeus the Knight of Destiny,Monster,Fusion,Licht,Krieger,10,?,?,1
Cyber Zwillings-Drache ,Cyber Twin Dragon,Monster,Fusion,Licht,Maschine,8,2800,2100,1
Despianischer Proskenion ,Despian Proskenion,Monster,Fusion,Licht,Unterweltler,11,3200,3200,2
Edelstein-Ritterdame Rosendiamant ,Gem-Knight Lady Rose Diamond,Monster,Fusion,Erde,Fee,8,2700,2400,2
YZ-Drachenpanzer ,YZ-Tank Dragon,Monster,Fusion,Licht,Maschine,6,2100,2200,1
Magieschlüssel-Drache - Andrabime ,Magikey Dragon - Andrabime,Monster,Fusion,Wasser,Drache,8,2800,2000,2
Doppelköpfiger Donnerdrache ,Twin-Headed Thunder Dragon,Monster,Fusion,Licht,Donner,7,2800,2100,1
Drachonekro-Niederseelendrache ,Dragonecro Nethersoul Dragon,Monster,Fusion,Finsternis,Dinosaurier,8,3000,0,2
Magier des Schwarzen Chaos ,Magician of Black Chaos,Monster,Ritual,Finsternis,Hexer,8,2800,2600,2
Magieschlüssel-Mechmuskete - Batossprenger ,Magikey Mechmusket - Batosbuster,Monster,Ritual,Finsternis,Maschine,4,2000,2200,1
Aufgegeben ,Relinquished,Monster,Ritual,Finsternis,Hexer,1,0,0,2
Schwarz Glänzender Soldat ,Black Luster Soldier,Monster,Ritual,Erde,Krieger,8,3000,2500,3
"Chirubimé, Prinzessin der Herbstblätter ","Chirubimé, Princess of Autumn Leaves",Monster,Effekt,Erde,Pflanze,8,1800,2800,1
Großzahn-Drache ,Grandtusk Dragon,Monster,Effekt,Erde,Dinosaurier,8,1400,2400,1
Gigapflanze ,Gigaplant,Monster,Effekt,Erde,Pflanze,6,2400,1200,1
Finstereruptions-Drache,Darkflare Dragon,Monster,Effekt,Finsternis,Drache,5,2400,1200,1
Gerümpel-Sammler ,Junk Collector,Monster,Effekt,Licht,Krieger,5,1000,2200,1
Entzauberer ,Spell Canceller,Monster,Effekt,Wind,Maschine,5,1800,1600,4
Matrixputzer ,Grid Sweeper,Monster,Effekt,Licht,Cyberse,4,100,2000,4
Flammenkumpan Eka ,Eka the Flame Buddy,Monster,Effekt,Feuer,Krieger,4,1500,200,2
Wurm Dimikles ,Worm Dimikles,Monster,Effekt,Licht,Reptil,4,1700,1400,1
Thron der züchtige Engel ,Thron the Disciplined Angel,Monster,Effekt,Erde,Fee,4,1500,600,2
Straßensynchron ,Road Synchron,Monster,Effekt,Licht,Maschine,4,1600,800,1
Infernalischer Drache ,Infernal Dragon,Monster,Effekt,Finsternis,Dinosaurier,4,2000,0,1
Greifer-Kreuzritter ,Tackle Crusader,Monster,Effekt,Erde,Fels,4,1500,1800,1
Märchenschweif - Rochka ,Fairy Tail - Rochka,Monster,Effekt,Licht,Hexer,4,1850,100,1
"Loris, Dame des Jammers ","Loris, Lady of Lament",Monster,Effekt,Finsternis,Unterweltler,3,1500,500,2
Kurikara Gottheitsinkarnation,Kurikara Divincarnate,Monster,Effekt,Feuer,Fee,1,1500,1500,1
Kreaturenanzahl von Kaiser Tanuki ,Emperor Tanuki's Critter Count,Monster,Effekt,Finsternis,Unterweltler,1,0,1600,3
Priesterin mit den blauen Augen ,Priestess with Eyes of Blue,Monster,Effekt,Licht,Hexer,1,0,0,2
Eisritter ,Ice Knight,Monster,Effekt,Wasser,Aqua,4,1300,1200,3
Edea der Himmelsknappe ,Edea the Heavenly Squire,Monster,Effekt,Licht,Krieger,1,800,1000,2
Eidos der Unterweltknappe,Eidos the Underworld Squire,Monster,Effekt,Finsternis,Hexer,2,800,1000,1
Morphtronische Boomboxen ,Morphtronic Boomboxen,Monster,Effekt,Erde,Maschine,4,1200,400,3
Spright Strahl ,Spright Jet,Monster,Effekt,Finsternis,Donner,2,1300,700,1
"Shif, Fee des Ghoti ","Shif, Fairy of the Ghoti",Monster,Effekt,Wasser,Fisch,2,0,500,1
Koa'ki Meiru Wächter,Koa'ki Meiru Guardian,Monster,Effekt,Erde,Fels,4,1900,1200,1
ZS - Ouroboros-Weiser ,ZS - Ouroboros Sage,Monster,Effekt,Finsternis,Krieger,3,600,0,2
ZW - Sylphidflügel ,ZW - Sylphid Wing,Monster,Effekt,Licht,Ungeheuer,4,800,1600,1
Therion „Kaiserin“ Alasia ,"Therion ""Empress"" Alasia",Monster,Effekt,Erde,Reptil,8,2100,2500,2
Genex-Ofen ,Genex Furnace,Monster,Effekt,Feuer,Pyro,5,2000,1300,1
Edelstein-Ritter Quartz ,Gem-Knight Quartz,Monster,Effekt,Erde,Fee,4,1500,1500,2
Dracheneinheit Waffe Mistilteinn ,Dragunity Arma Mystletainn,Monster,Effekt,Wind,Drache,6,2100,1500,2
Grosalamander Kojote ,Salamangreat Coyote,Monster,Effekt,Feuer,Cyberse,3,1000,200,1
Symphonischer Krieger Tr-r-rommel ,Symphonic Warrior Drumss,Monster,Effekt,Wasser,Maschine,2,700,700,1
Alte Krieger - Genialer Zhuge Kong ,Ancient Warriors - Ingenious Zhuge Kong,Monster,Effekt,Wasser,Ungeheuer-Krieger,4,1000,2000,1
X-Säbel Axel ,X-Saber Axel,Monster,Effekt,Erde,Ungeheuer-Krieger,1,400,100,1
Nordisches Ungeheuer Gullinbursti ,Nordic Beast Gullinbursti,Monster,Effekt,Licht,Ungeheuer,3,300,100,1
Nordischer Schmied Ivaldi ,Nordic Smith Ivaldi,Monster,Effekt,Erde,Krieger,4,1500,700,1
Myutant Ungeheuer ,Myutant Beast,Monster,Effekt,Erde,Ungeheuer,8,2400,2400,1
Myutant Nebel ,Myutant Mist,Monster,Effekt,Wind,Hexer,8,2700,2900,1
Die Phantomritter der Lumpigen Handschuhe ,The Phantom Knights of Ragged Gloves,Monster,Effekt,Finsternis,Krieger,3,1000,500,1
Mathemech Kreis ,Mathmech Circular,Monster,Effekt,Licht,Cyberse,4,1500,1500,1
Rosenprinzessin ,Rose Princess,Monster,Effekt,Erde,Pflanze,3,1200,800,2
"Ascator, Morgendämmerungsläufer ","Ascator, Dawnwalker",Monster,Effekt,Erde,Hexer,5,2300,1500,1
Mantrawichtel Steinbuch ,Impcantation Bookstone,Monster,Effekt,Finsternis,Hexer,5,0,0,1
Der sagenhafte Katsith ,The Fabled Catsith,Monster,Effekt,Licht,Ungeheuer,1,800,600,1
Der sagenhafte Ganashia ,The Fabled Ganashia,Monster,Effekt,Licht,Ungeheuer,3,1600,1000,1
Kuribabylon ,Kuribabylon,Monster,Effekt,Finsternis,Unterweltler,5,1500,1000,11
Kuriba ,Kuribah,Monster,Effekt,Finsternis,Unterweltler,1,300,200,1
Kuribe,Kuribeh,Monster,Effekt,Finsternis,Unterweltler,1,300,200,2
Kuribi ,Kuribee,Monster,Effekt,Finsternis,Unterweltler,1,300,200,4
Kuribu,Kuriboo,Monster,Effekt,Finsternis,Unterweltler,1,300,200,1
Kuriboh,Kuriboh,Monster,Effekt,Finsternis,Unterweltler,1,300,200,10
Bujin Torifune ,Bujin Torifune ,Monster,Effekt,Licht,Ungeheuer-Krieger,4,1500,500,2
Tinwinkel-Jhrelth,Tindangle Jhrelth,Monster,Effekt,Finsternis,Unterweltler,3,0,1800,2
Dracheneinheit Aklys ,Dragunity Aklys,Monster,Effekt,Wind,Drache,2,1000,800,1
Bruderschaft der Feuerfaust - Bär ,Brotherhood of the Fire Fist - Bear,Monster,Effekt,Feuer,Ungeheuer-Krieger,4,1600,1200,3
Gepanzertes Bitron ,Armored Bitron,Monster,Effekt,Finsternis,Cyberse,2,500,0,1
Dual-Assemblgewürm ,Dual Assembwurm,Monster,Effekt,Finsternis,Cyberse,8,2800,1000,1
Neo-Flamvell-Garuda,Neo Flamvell Garuda,Monster,Effekt,Feuer,Pyro,3,1200,1800,1
Naturia-Erdbeere ,Naturia Strawberry,Monster,Effekt,Erde,Pflanze,4,1600,1200,2
Todfeind Korridor ,Nemeses Corridor,Monster,Effekt,Wind,Donner,4,1900,600,1
Verbündeter der Gerechtigkeit Begrenzungsentferner ,Ally of Justice Unlimiter,Monster,Effekt,Finsternis,Maschine,2,600,200,1
Pferd der Blumenritter ,Horse of the Floral Knights,Monster,Effekt,Wind,Ungeheuer,3,400,800,3
Edler Ritter-Speerträger ,Noble Knight's Spearholder,Monster,Effekt,Licht,Krieger,2,800,400,6
Kristron Quan ,Crystron Quan,Monster,Effekt,Wasser,Maschine,1,500,500,1
"Celestia, Lichtverpflichteter Engel ","Celestia, Lightsworn Angel",Monster,Effekt,Licht,Fee,5,2300,200,2
Vampirzauberer ,Vampire Sorcerer,Monster,Effekt,Finsternis,Zombie,4,1500,1500,2
Vampirscharlachgeißel ,Vampire Scarlet Scourge,Monster,Effekt,Finsternis,Zombie,6,2200,2200,2
Vampirlord ,Vampire Lord,Monster,Effekt,Finsternis,Zombie,5,2000,1500,3
Schattenvampir ,Shadow Vampire,Monster,Effekt,Finsternis,Zombie,5,2000,0,3
Hexwerkerin Edel ,Witchcrafter Edel,Monster,Effekt,Licht,Hexer,5,2000,2300,1
Hexwerkerin Madam Verre ,Witchcrafter Madame Verre,Monster,Effekt,Licht,Hexer,8,1000,2800,1
Hexwerkerin Potterie ,Witchcrafter Potterie,Monster,Effekt,Erde,Hexer,2,0,2000,2
Agido der alte Wachposten ,Agido the Ancient Sentinel,Monster,Effekt,Erde,Fee,4,1500,1300,1
"Hapi, Führung des Horus ","Hapi, Guidance of Horus",Monster,Effekt,Wind,Ungeheuer-Krieger,8,2400,1600,4
"Kebechsenuef, Schutz des Horus ","Qebehsenuef, Protection of Horus",Monster,Effekt,Erde,Geflügeltes Ungeheuer,8,2500,2000,4
Kelbek die alte Vorhut ,Kelbek the Ancient Vanguard,Monster,Effekt,Erde,Fee,4,1500,1800,1
Fossile Grabung ,Fossil Dig,Zauber,Normaler Zauber,-,-,-,-,-,6
Eisspiegel ,Ice Mirror,Zauber,Normaler Zauber,-,-,-,-,-,2
Verborgene Zähne der Rache,Hidden Fangs of Revenge,Zauber,Schnellzauber,-,-,-,-,-,3
Weißfisch-Rettung ,Whitefish Salvage,Zauber,Permanenter Zauber,-,-,-,-,-,1
Ansturm der Feuerkönige ,Onslaught of the Fire Kings,Zauber,Normaler Zauber,-,-,-,-,-,4
Vorherbestimmtes Ritual ,Ritual Foregone,Zauber,Normaler Zauber,-,-,-,-,-,1
Schnellverstärker ,Quick Booster,Zauber,Schnellzauber,-,-,-,-,-,1
Elegante Wohltäterin ,Graceful Charity,Zauber,Normaler Zauber,-,-,-,-,-,1
Drachenrufflöte ,The Flute of Summoning Dragon,Zauber,Normaler Zauber,-,-,-,-,-,1
Sündenbock ,Scapegoat,Zauber,Schnellzauber,-,-,-,-,-,2
Pendelschatz ,Pendulum Treasure,Zauber,Normaler Zauber,-,-,-,-,-,1
Kubisches Karma,Cubic Karma,Zauber,Permanenter Zauber,-,-,-,-,-,1
Kampfgeist des Drachen ,Dragon's Fighting Spirit,Zauber,Schnellzauber,-,-,-,-,-,1
Dunkle Brennende Magie ,Dark Burning Magic,Zauber,Schnellzauber,-,-,-,-,-,1
Federschuss ,Feather Shot,Zauber,Normaler Zauber,-,-,-,-,-,1
Bubble Illusion ,Bubble Illusion,Zauber,Schnellzauber,-,-,-,-,-,2
EN-Welle ,EN Wave,Zauber,Permanenter Zauber,-,-,-,-,-,3
Antikes Antriebsschloss ,Ancient Gear Castle,Zauber,Permanenter Zauber,-,-,-,-,-,1
Marsch der Dunkelbrigade,March of the Dark Brigade,Zauber,Normaler Zauber,-,-,-,-,-,1
Lichtverpflichtetes Heiligtum ,Lightsworn Sanctuary,Zauber,Permanenter Zauber,-,-,-,-,-,1
Spright-Starter,Spright Starter,Zauber,Schnellzauber,-,-,-,-,-,1
Rangsteigerungszauber Silberchaoskraft ,Rank-Up-Magic Argent Chaos Force,Zauber,Normaler Zauber,-,-,-,-,-,3
Perfekte Harmonie - A-Un ,Perfect Sync - A-Un,Zauber,Spielfeldzauber,-,-,-,-,-,1
Erholung des Bösauges ,Evil Eye Repose,Zauber,Permanenter Zauber,-,-,-,-,-,1
Hexwerker-Schöpfung ,Witchcrafter Creation,Zauber,Normaler Zauber,-,-,-,-,-,1
Pinguinschwert ,Penguin Sword,Zauber,Ausrüstungszauber,-,-,-,-,-,3
Schwarzer-Glanz-Ritual ,Black Luster Ritual,Zauber,Ritualzauber,-,-,-,-,-,3
Unterterror-Höhlenkampf ,Subterror Cave Clash,Zauber,Permanenter Zauber,-,-,-,-,-,1
Doktor - D ,Doctor D,Zauber,Normaler Zauber,-,-,-,-,-,1
Streufusion ,Scatter Fusion,Zauber,Permanenter Zauber,-,-,-,-,-,2
Zexal-Feld ,Zexal Field,Zauber,Spielfeldzauber,-,-,-,-,-,3
Hyper-Rangsteigerungszauber Utopikraft ,Hyper Rank-Up-Magic Utopiforce,Zauber,Normaler Zauber,-,-,-,-,-,1
Zexal-Katapult ,Zexal Catapult,Zauber,Normaler Zauber,-,-,-,-,-,1
Schreckensklauen-Grätsche ,Scareclaw Straddle,Zauber,Schnellzauber,-,-,-,-,-,1
Vervielfachen ,Multiply,Zauber,Schnellzauber,-,-,-,-,-,5
Berserkerschlag ,Berserker Crush,Zauber,Schnellzauber,-,-,-,-,-,1
KampfgA.I.st ,FA.I.ghting Spirit,Zauber,Normaler Zauber,-,-,-,-,-,1
Transzendente Flügel,Transcendent Wings,Zauber,Schnellzauber,-,-,-,-,-,1
Sabatiel - Der Stein der Weisen ,Sabatiel - The Philosopher's Stone,Zauber,Normaler Zauber,-,-,-,-,-,2
Die Flöte der Kuriboh-Beschwörung ,The Flute of Summoning Kuriboh,Zauber,Schnellzauber,-,-,-,-,-,1
Detonieren ,Detonate,Zauber,Schnellzauber,-,-,-,-,-,5
Käferkavallerie-Formation ,Beetrooper Formation,Zauber,Spielfeldzauber,-,-,-,-,-,2
Trickstar-Festival ,Trickstar Festival,Zauber,Normaler Zauber,-,-,-,-,-,1
P.U.N.K. JAM Extreme Session ,P.U.N.K. JAM Extreme Session,Zauber,Spielfeldzauber,-,-,-,-,-,2
Zeichen der Hysterie ,Hysteric Sign,Zauber,Permanenter Zauber,-,-,-,-,-,4
Zeitdieb-Inbetriebnahme ,Time Thief Startup,Zauber,Schnellzauber,-,-,-,-,-,1
Rikka-Konkon ,Rikka Konkon,Zauber,Spielfeldzauber,-,-,-,-,-,2
Cipher-Interferenz ,Cipher Interference,Zauber,Permanenter Zauber,-,-,-,-,-,5
Gerätewesen-Umwandlung ,Appliancer Conversion,Zauber,Schnellzauber,-,-,-,-,-,2
Seelenbindendes Tor ,Soul Binding Gate,Zauber,Spielfeldzauber,-,-,-,-,-,2
Puppenstube ,Doll House,Zauber,Spielfeldzauber,-,-,-,-,-,5
Schwere Vorwärtsverlegung ,Heavy Forward,Zauber,Permanenter Zauber,-,-,-,-,-,2
Drachenschrein,Dragon Shrine,Zauber,Normaler Zauber,-,-,-,-,-,3
"Fandora, die fliegende Fellstung ","Fandora, the Flying Furtress",Zauber,Spielfeldzauber,-,-,-,-,-,2
Ausflug in den Fallensektor ,Traptrip Garden,Zauber,Spielfeldzauber,-,-,-,-,-,3
Verstärkung für die Armee ,Reinforcement of the Army,Zauber,Normaler Zauber,-,-,-,-,-,6
Stummer Friedhof,Silent Graveyard,Zauber,Schnellzauber,-,-,-,-,-,4
Sturm heraufbeschwören,Summon Storm,Zauber,Normaler Zauber,-,-,-,-,-,2
Hohle Giganten ,Hollow Giants,Zauber,Permanenter Zauber,-,-,-,-,-,1
Gedankenkontrolle ,Mind Control,Zauber,Normaler Zauber,-,-,-,-,-,1
Wellenbewegungskanone,Wave-Motion Cannon,Zauber,Permanenter Zauber,-,-,-,-,-,1
Dunkler Brennender Angriff ,Dark Burning Attack,Zauber,Normaler Zauber,-,-,-,-,-,1
Kosmoszyklon ,Cosmic Cyclone,Zauber,Schnellzauber,-,-,-,-,-,3
Magiegeladene Fusion ,Magicalized Fusion,Zauber,Normaler Zauber,-,-,-,-,-,7
Hexwerker-Dekoration ,Witchcrafter Draping,Zauber,Schnellzauber,-,-,-,-,-,1
Hexwerker-Schriftrolle ,Witchcrafter Scroll,Zauber,Permanenter Zauber,-,-,-,-,-,2
Hexwerker-Pause ,Witchcrafter Holiday,Zauber,Normaler Zauber,-,-,-,-,-,1
Hexwerker-Zusammenarbeit ,Witchcrafter Collaboration,Zauber,Normaler Zauber,-,-,-,-,-,2
Hexwerker-Seitenstraße ,Witchcrafter Bystreet,Zauber,Permanenter Zauber,-,-,-,-,-,2
Hexwerker-Enthüllung ,Witchcrafter Unveiling,Zauber,Schnellzauber,-,-,-,-,-,2
Blauäugiger w. Drache ,Blue-Eyes White Dragon,Monster,Normal,Licht,Drache,8,3000,2500,15
Seiyaryu,Seiyaryu,Monster,Normal,Licht,Drache,7,2500,2300,1
Dunkler Magier,Dark Magician,Monster,Normal,Finsternis,Hexer,7,2500,2100,10
Mystische Elfe ,Mystical Elf,Monster,Normal,Licht,Hexer,4,800,2000,3
Elementar-HELD Neos ,Elemental HERO Neos,Monster,Normal,Licht,Krieger,7,2500,2000,3
"Sephylon, der ultimative Zeitherrscher ","Sephylon, the Ultimate Timelord",Monster,Effekt,Licht,Fee,10,4000,4000,2
Gandora-X der Drache der Vernichtung ,Gandora-X the Dragon of Demolition,Monster,Effekt,Finsternis,Drache,8,0,0,1
Pandemischer Drache ,Pandemic Dragon,Monster,Effekt,Finsternis,Drache,7,2500,1000,1
Eklipsen-Lindwurm ,Eclipse Wyvern,Monster,Effekt,Licht,Drache,4,1600,1000,1
Goldener Apparat ,Gold Gadget,Monster,Effekt,Licht,Maschine,4,1700,800,1
Finsterer Garnex das kubische Ungeheuer,Dark Garnex the Cubic Beast,Monster,Effekt,Erde,Ungeheuer,2,0,0,1
Wächter Brachialsense ,Guardian Dreadscythe,Monster,Effekt,Finsternis,Unterweltler,8,2500,2000,1
Insektenkönigin ,Insect Queen,Monster,Effekt,Erde,Insekt,7,2200,2400,1
Perfekte ultimative große Motte ,Perfectly Ultimate Great Moth,Monster,Effekt,Erde,Insekt,8,3500,3000,1
"Uria, Herr der reißenden Flammen ","Uria, Lord of Searing Flames",Monster,Effekt,Feuer,Pyro,10,0,0,2
Blockmann ,Blockman,Monster,Effekt,Erde,Fels,4,1000,1500,4
Lichtpulsar-Drache ,Lightpulsar Dragon,Monster,Effekt,Licht,Drache,6,2500,1500,1
"Lumina, Zwielichtverpflichtete Schamanin ","Lumina, Twilightsworn Shaman",Monster,Effekt,Finsternis,Hexer,3,1000,1000,3
Geisteroger und Schneehase ,Ghost Ogre & Snow Rabbit,Monster,Effekt,Licht,Psi,3,0,1800,6
Geisterschnitter und Winterkirschblüten ,Ghost Reaper & Winter Cherries,Monster,Effekt,Finsternis,Zombie,3,0,1800,2
Rote Blüten aus dem Unterholz ,Red Blossoms from Underroot,Monster,Effekt,Finsternis,Unterweltler,1,0,0,1
Geisterschwester und gruseliger Hartriegel ,Ghost Sister & Spooky Dogwood,Monster,Effekt,Wasser,Zombie,3,0,1800,2
Geistermädchen & Spukhaus,Ghost Belle & Haunted Mansion,Monster,Effekt,Erde,Zombie,3,0,1800,9
Denko Sekka ,Denko Sekka,Monster,Effekt,Licht,Donner,4,1700,1000,1
Inspektor Boarder ,Inspector Boarder,Monster,Effekt,Licht,Maschine,4,2000,2000,5
Frühlingssylphe der aufblühenden Hügel ,Vernusylph of the Flourishing Hills,Monster,Effekt,Erde,Fee,4,200,2000,1
Artefakt Longinuslanze ,Artifact Lancea,Monster,Effekt,Licht,Fee,5,1700,2300,4
Einbildungsunterweltler ,Vanity's Fiend,Monster,Effekt,Finsternis,Unterweltler,6,2400,1200,1
Majestätsunterweltler ,Majesty's Fiend,Monster,Effekt,Licht,Unterweltler,6,2400,1000,1
Dinowrestler Pankratops ,Dinowrestler Pankratops,Monster,Effekt,Erde,Dinosaurier,7,2600,0,1
"Gameciel, der Kaiju der Meeresschildkröte ","Gameciel, the Sea Turtle Kaiju",Monster,Effekt,Wasser,Aqua,8,2200,3000,1
Bestrafungsdrache ,Punishment Dragon,Monster,Effekt,Finsternis,Drache,8,3000,2600,3
Androsphinx ,Andro Sphinx,Monster,Effekt,Licht,Ungeheuer,10,3000,2500,2
Teleia die Sphinx,Sphinx Teleia,Monster,Effekt,Licht,Ungeheuer,10,2500,3000,3
Theinen die Große Sphinx ,Theinen the Great Sphinx,Monster,Effekt,Licht,Ungeheuer,10,3500,3000,1
Antiker Antriebsgadjiltrondrache ,Ancient Gear Gadjiltron Dragon,Monster,Effekt,Erde,Maschine,8,3000,2000,1
Gilford die Legende ,Gilford the Legend,Monster,Effekt,Erde,Krieger,8,2600,2000,1
Ozeandrachenherrscher - Neo-Daedalus ,Ocean Dragon Lord - Neo-Daedalus,Monster,Effekt,Wasser,Seeschlange,8,2900,1600,1
Infernaler Flammenherrscher ,Infernal Flame Emperor,Monster,Effekt,Feuer,Pyro,9,2700,1600,4
Elementar-HELD Necroshade ,Elemental HERO Necroshade,Monster,Effekt,Finsternis,Krieger,5,1600,1800,2
Geflügelter Kuriboh ,Winged Kuriboh,Monster,Effekt,Licht,Fee,1,300,200,3
Geflügelter Kuriboh LV10 ,Winged Kuriboh LV10,Monster,Effekt,Licht,Fee,10,300,200,2
Geflügelter Kuriboh LV9,Winged Kuriboh LV9,Monster,Effekt,Licht,Fee,9,?,?,1
Kuribon,Kuribon,Monster,Effekt,Licht,Fee,1,300,200,1
Durchsichtiger Kuriboh ,Clear Kuriboh,Monster,Effekt,Licht,Fee,1,300,200,1
Gerümpel-Kuriboh ,Junkuriboh,Monster,Effekt,Erde,Maschine,1,300,200,1
Kurivolt ,Kurivolt,Monster,Effekt,Licht,Donner,1,300,200,1
Kugel-Kuriboh ,Sphere Kuriboh,Monster,Effekt,Finsternis,Unterweltler,1,300,200,1
